average_price,broker_order_id,current_datetime,current_ltp,exchange,instrument_id,quantity
5.2,2022-01-25 09:38:01.379179,2022-01-25 09:38:00.758561,17043.75,NFO,NIFTY22JAN18000CE,500.0
5.35,2022-01-25 09:38:01.593851,2022-01-25 09:38:00.758561,17043.75,NFO,NIFTY22JAN15550PE,500.0
128.65,2022-01-25 10:04:20.463833,2022-01-25 10:04:19.567937,17123.85,NFO,NIFTY22JAN17150CE,-500.0
132.5,2022-01-25 10:04:20.700060,2022-01-25 10:04:19.567937,17123.85,NFO,NIFTY22JAN17100PE,-500.0
117.7,2022-01-25 10:06:17.319781,2022-01-25 10:06:16.904225,17156.1,NFO,NIFTY22JAN17100PE,500.0
149.8,2022-01-25 10:06:17.531736,2022-01-25 10:06:16.904225,17156.1,NFO,NIFTY22JAN17150CE,500.0
129.55,2022-01-25 11:45:18.609481,2022-01-25 11:45:17.744711,17097.1,NFO,NIFTY22JAN17100PE,-500.0
136.0,2022-01-25 11:45:18.845719,2022-01-25 11:45:17.744711,17097.1,NFO,NIFTY22JAN17100CE,-500.0
118.3,2022-01-25 11:56:07.979269,2022-01-25 11:56:07.425213,17071.85,NFO,NIFTY22JAN17100CE,500.0
148.3,2022-01-25 11:56:08.198640,2022-01-25 11:56:07.425213,17071.85,NFO,NIFTY22JAN17100PE,500.0
128.25,2022-01-25 12:37:02.021366,2022-01-25 12:37:01.103616,17103.55,NFO,NIFTY22JAN17100CE,-500.0
125.1,2022-01-25 12:37:02.255576,2022-01-25 12:37:01.103616,17103.55,NFO,NIFTY22JAN17100PE,-500.0
110.35,2022-01-25 12:47:53.325401,2022-01-25 12:47:52.808857,17071.85,NFO,NIFTY22JAN17100CE,500.0
143.15,2022-01-25 12:47:53.526814,2022-01-25 12:47:52.808857,17071.85,NFO,NIFTY22JAN17100PE,500.0
88.35,2022-01-25 14:11:19.005748,2022-01-25 14:11:18.023114,17222.75,NFO,NIFTY22JAN17250CE,-500.0
91.45,2022-01-25 14:11:19.267032,2022-01-25 14:11:18.023114,17222.75,NFO,NIFTY22JAN17200PE,-500.0
106.55,2022-01-25 14:15:46.465626,2022-01-25 14:15:45.840031,17197.3,NFO,NIFTY22JAN17200PE,500.0
74.85,2022-01-25 14:15:46.669108,2022-01-25 14:15:45.840031,17197.3,NFO,NIFTY22JAN17250CE,500.0
106.35,2022-01-25 14:25:38.372023,2022-01-25 14:25:37.421670,17211.7,NFO,NIFTY22JAN17200CE,-500.0
118.45,2022-01-25 14:25:38.599745,2022-01-25 14:25:37.421670,17211.7,NFO,NIFTY22JAN17250PE,-500.0
137.9,2022-01-25 14:49:44.093495,2022-01-25 14:49:43.499570,17252.45,NFO,NIFTY22JAN17200CE,500.0
97.1,2022-01-25 14:49:44.313267,2022-01-25 14:49:43.499570,17252.45,NFO,NIFTY22JAN17250PE,500.0
108.45,2022-01-25 14:49:46.138389,2022-01-25 14:49:45.153540,17252.3,NFO,NIFTY22JAN17250CE,-500.0
120.3,2022-01-25 14:49:46.379606,2022-01-25 14:49:45.153540,17252.3,NFO,NIFTY22JAN17300PE,-500.0
119.3,2022-01-25 14:52:33.239816,2022-01-25 14:52:32.278015,17267.75,NFO,NIFTY22JAN17250CE,500.0
115.8,2022-01-25 14:52:33.553077,2022-01-25 14:52:32.278015,17267.75,NFO,NIFTY22JAN17300PE,500.0
1.05,2022-01-25 14:52:33.832041,2022-01-25 14:52:32.278015,17267.75,NFO,NIFTY22JAN15550PE,-500.0
