average_price,broker_order_id,current_datetime,current_ltp,exchange,instrument_id,quantity
4.55,2022-01-19 09:28:02.148716,2022-01-19 09:28:00.686045,18103.3,NFO,NIFTY2212018450CE,500.0
4.6,2022-01-19 09:28:02.669923,2022-01-19 09:28:00.686045,18103.3,NFO,NIFTY2212017650PE,500.0
78.0,2022-01-19 10:15:01.721721,2022-01-19 10:15:00.368578,18038.7,NFO,NIFTY2212018050PE,-500.0
68.95,2022-01-19 10:15:02.114132,2022-01-19 10:15:00.368578,18038.7,NFO,NIFTY2212018050CE,-500.0
58.9,2022-01-19 10:24:04.902639,2022-01-19 10:24:04.137504,18021.45,NFO,NIFTY2212018050CE,500.0
88.0,2022-01-19 10:24:05.235137,2022-01-19 10:24:04.137504,18021.45,NFO,NIFTY2212018050PE,500.0
79.4,2022-01-19 10:40:02.050067,2022-01-19 10:40:00.246209,18012.8,NFO,NIFTY2212018000CE,-500.0
68.85,2022-01-19 10:40:02.568293,2022-01-19 10:40:00.246209,18012.8,NFO,NIFTY2212018000PE,-500.0
86.0,2022-01-19 10:41:17.426532,2022-01-19 10:41:16.314112,18027.9,NFO,NIFTY2212018000CE,500.0
61.85,2022-01-19 10:41:17.943619,2022-01-19 10:41:16.314112,18027.9,NFO,NIFTY2212018000PE,500.0
78.05,2022-01-19 10:43:19.077494,2022-01-19 10:43:17.193485,18013.45,NFO,NIFTY2212018000CE,-500.0
69.75,2022-01-19 10:43:19.593393,2022-01-19 10:43:17.193485,18013.45,NFO,NIFTY2212018000PE,-500.0
86.4,2022-01-19 10:45:27.312789,2022-01-19 10:45:26.250718,18027.25,NFO,NIFTY2212018000CE,500.0
62.45,2022-01-19 10:45:27.793154,2022-01-19 10:45:26.250718,18027.25,NFO,NIFTY2212018000PE,500.0
79.9,2022-01-19 10:49:03.997267,2022-01-19 10:49:02.133624,18016.65,NFO,NIFTY2212018000CE,-500.0
67.75,2022-01-19 10:49:04.523571,2022-01-19 10:49:02.133624,18016.65,NFO,NIFTY2212018000PE,-500.0
60.25,2022-01-19 11:02:58.500284,2022-01-19 11:02:57.747376,17972.15,NFO,NIFTY2212018000CE,500.0
87.95,2022-01-19 11:02:58.817052,2022-01-19 11:02:57.747376,17972.15,NFO,NIFTY2212018000PE,500.0
79.95,2022-01-19 11:45:02.718656,2022-01-19 11:45:00.742764,17979.65,NFO,NIFTY2212018000PE,-500.0
87.5,2022-01-19 11:45:03.250858,2022-01-19 11:45:00.742764,17979.65,NFO,NIFTY2212017950CE,-500.0
73.15,2022-01-19 12:30:36.308741,2022-01-19 12:30:35.466140,17947.7,NFO,NIFTY2212017950CE,500.0
96.55,2022-01-19 12:30:36.634405,2022-01-19 12:30:35.466140,17947.7,NFO,NIFTY2212018000PE,500.0
73.8,2022-01-19 12:58:46.796941,2022-01-19 12:58:45.323774,17893.4,NFO,NIFTY2212017900PE,-500.0
71.7,2022-01-19 12:58:47.117078,2022-01-19 12:58:45.323774,17893.4,NFO,NIFTY2212017900CE,-500.0
84.9,2022-01-19 13:08:47.223412,2022-01-19 13:08:45.988134,17927.6,NFO,NIFTY2212017900CE,500.0
